iter	RMSE
0	0.6161588251
1	0.5852211162
2	0.5575626667
3	0.5335444017
4	0.5125814478
5	0.4931678732
6	0.4774052005
7	0.4636827936
8	0.4510834103
9	0.4405664167
10	0.429971369
11	0.4203201431
12	0.4114165474
13	0.4039244291
14	0.3976976543
15	0.3918566675
16	0.3867329869
17	0.3825718625
18	0.3786580973
19	0.3742760294
20	0.3705785917
21	0.3672814679
22	0.3642916539
23	0.3613374659
24	0.3588793606
25	0.356507203
26	0.3544600171
27	0.3521144682
28	0.350368931
29	0.3490359169
30	0.3475799797
31	0.3461501265
32	0.3449252577
33	0.3435061181
34	0.3423395655
35	0.3407804844
36	0.3392526892
37	0.3383012857
38	0.337297957
39	0.3364520669
40	0.3358015807
41	0.3342229611
42	0.3331684579
43	0.3323819317
44	0.3316536555
45	0.3308349773
46	0.3298266287
47	0.3288798456
48	0.3277510532
49	0.3270129463
50	0.3265411018
51	0.3259754339
52	0.3252791798
53	0.3245923504
54	0.3241615328
55	0.323483655
56	0.3230601299
57	0.3223067162
58	0.3216118099
59	0.321021186
60	0.3204732556
61	0.3194078842
62	0.3189278606
63	0.3181274925
64	0.3176472631
65	0.3170837539
66	0.3162106722
67	0.3157808429
68	0.3151654803
69	0.3145243979
70	0.3139842855
71	0.3136028186
72	0.3130055239
73	0.3125541939
74	0.3119520069
75	0.3115940586
76	0.3111849408
77	0.3106660649
78	0.3102262125
79	0.3097912031
80	0.3094009657
81	0.309124706
82	0.3085868092
83	0.3080936716
84	0.307659194
85	0.3074123051
86	0.3070939702
87	0.3068323199
88	0.3063762233
89	0.3061144878
90	0.3058912019
91	0.305482065
92	0.3050986989
93	0.3048094048
94	0.3044250454
95	0.3040656911
96	0.303706835
97	0.3033344325
98	0.3029962627
99	0.3026935643
100	0.3024405948
101	0.3020792198
102	0.3017814746
103	0.3014758516
104	0.3010528183
105	0.3006960213
106	0.3004759615
107	0.300179457
108	0.2997442706
109	0.2994913521
110	0.2991599942
111	0.2988857688
112	0.2985987617
113	0.2984299873
114	0.2982028086
115	0.2978790627
116	0.2975106817
117	0.2972484114
118	0.2970235043
119	0.2966462041
120	0.2963568507
121	0.2960220717
122	0.29578508
123	0.295423656
124	0.2951355509
125	0.2949907943
126	0.294751743
127	0.2945825399
128	0.2942700813
129	0.2939878584
130	0.2938133516
131	0.2936559707
132	0.2934605556
133	0.2932181437
134	0.2930071406
135	0.2928433276
136	0.2926584399
137	0.2923322349
138	0.2920063075
139	0.2919159021
140	0.2917080659
141	0.291473987
142	0.2912543861
143	0.2909209892
144	0.2907541085
145	0.2905521448
146	0.2903365518
147	0.2901734427
148	0.2899898962
149	0.2898473335
150	0.2896708358
151	0.2895727891
152	0.2892589318
153	0.2891170735
154	0.2890406523
155	0.2888446469
156	0.2887129488
