iter	Passed	Remaining
0	201	100419
1	299	74484
2	483	80157
3	629	78101
4	833	82526
5	1008	82998
6	1166	82124
7	1301	80047
8	1487	81149
9	1681	82380
10	1858	82632
11	2122	86303
12	2342	87764
13	2563	89005
14	2722	88042
15	2916	88216
16	3103	88165
17	3318	88868
18	3479	88084
19	3653	87688
20	3874	88369
21	4040	87791
22	4236	87860
23	4428	87837
24	4645	88262
25	4844	88312
26	5017	87896
27	5192	87525
28	5391	87571
29	5582	87466
30	5792	87628
31	6017	87999
32	6212	87914
33	6381	87459
34	6554	87078
35	6754	87053
36	6967	87193
37	7157	87021
38	7342	86792
39	7497	86216
40	7678	85965
41	7855	85663
42	8025	85298
43	8211	85101
44	8433	85272
45	8622	85101
46	8808	84897
47	8999	84749
48	9211	84779
49	9364	84276
50	9544	84028
51	9711	83665
52	9869	83239
53	10026	82815
54	10222	82711
55	10451	82864
56	10652	82793
57	10837	82587
58	11041	82534
59	11234	82384
60	11411	82128
61	11612	82033
62	11838	82118
63	12073	82252
64	12265	82087
65	12389	81467
66	12641	81696
67	12800	81323
68	12989	81134
69	13179	80962
70	13290	80303
71	13432	79850
72	13581	79441
73	13758	79204
74	13951	79060
75	14153	78964
76	14374	78969
77	14582	78895
78	14727	78485
79	14933	78402
80	15068	77946
81	15248	77729
82	15493	77841
83	15665	77581
84	15847	77374
85	16019	77116
86	16197	76892
87	16384	76710
88	16603	76675
89	16786	76472
90	16973	76287
91	17089	75790
92	17222	75371
93	17354	74958
94	17535	74755
95	17715	74552
96	17911	74417
97	18125	74351
98	18291	74088
99	18478	73912
100	18683	73811
101	18853	73565
102	19053	73439
103	19235	73243
104	19389	72941
105	19587	72807
106	19697	72346
107	19848	72042
108	19953	71576
109	20126	71357
110	20325	71230
111	20492	70990
112	20675	70808
113	20887	70724
114	21075	70557
115	21274	70427
116	21422	70126
117	21619	69989
118	21780	69733
119	21990	69636
120	22179	69472
121	22379	69339
122	22906	70209
123	23196	70336
124	23397	70192
125	23649	70198
126	23909	70221
127	24128	70123
128	24336	69991
129	24501	69734
130	24646	69423
131	24952	69565
132	25170	69455
133	25431	69461
134	25589	69186
135	25794	69038
136	26033	68978
137	26210	68754
138	26415	68605
139	26583	68358
140	26775	68173
141	26976	68011
142	27127	67725
143	27301	67494
144	27500	67327
145	27700	67165
146	27903	67005
147	28128	66901
148	28353	66793
149	28514	66534
150	28769	66492
151	28954	66290
152	29121	66046
153	29369	65985
154	29566	65808
155	29809	65732
156	29936	65401
157	30081	65113
158	30282	64944
159	30457	64722
160	30777	64805
161	30950	64575
162	31093	64286
163	31235	63994
164	31441	63836
165	31647	63676
166	31857	63524
167	32012	63262
168	32205	63076
169	32357	62811
170	32540	62607
171	32714	62386
172	32931	62246
173	33127	62067
174	33287	61820
175	33500	61671
176	33620	61353
177	33822	61185
178	33991	60957
179	34167	60741
180	34346	60532
181	34451	60195
182	34651	60024
183	34785	59740
184	34921	59460
185	35090	59239
186	35297	59080
187	35484	58888
188	35679	58710
189	35891	58559
190	36129	58449
191	36328	58276
192	36506	58070
193	36682	57860
194	36829	57604
195	37024	57426
196	37150	57139
197	37357	56979
198	37523	56756
199	37675	56513
200	37852	56307
201	38043	56124
202	38234	55938
203	38426	55756
204	38611	55562
205	38783	55351
206	38910	55076
207	39050	54821
208	39276	54687
209	39453	54483
210	39657	54317
211	39864	54155
212	40055	53970
213	40217	53748
214	40399	53552
215	40560	53329
216	40683	53057
217	40863	52860
218	41067	52694
219	41227	52471
220	41432	52306
221	41633	52135
222	41912	52061
223	42128	51908
224	42351	51763
225	42514	51544
226	42753	51416
227	42925	51208
228	43129	51040
229	43335	50872
230	43543	50706
231	43742	50529
232	43923	50332
233	44095	50125
234	44296	49951
235	44472	49748
236	44657	49556
237	44811	49329
238	44983	49124
239	45143	48905
240	45323	48708
241	45510	48519
242	45655	48286
243	45830	48084
244	46015	47893
245	46263	47767
246	46419	47546
247	46602	47354
248	46766	47141
249	46937	46937
250	47131	46755
251	47341	46590
252	47499	46372
253	47698	46196
254	47850	45974
255	48056	45803
256	48240	45612
257	48436	45432
258	48628	45248
259	48793	45040
260	48938	44813
261	49081	44585
262	49318	44442
263	49545	44290
264	49695	44069
265	49820	43827
266	49947	43587
267	50144	43408
268	50329	43219
269	50552	43063
270	50761	42894
271	50970	42725
272	51175	42552
273	51359	42362
274	51559	42184
275	51777	42022
276	51971	41840
277	52155	41649
278	52376	41488
279	52534	41277
280	52706	41077
281	52899	40894
282	53065	40690
283	53257	40505
284	53419	40298
285	53639	40136
286	53826	39947
287	53954	39716
288	54160	39542
289	54383	39381
290	54575	39197
291	54734	38988
292	54903	38788
293	55126	38625
294	55316	38440
295	55474	38232
296	55661	38044
297	55850	37858
298	56048	37678
299	56261	37507
300	56422	37302
301	56618	37120
302	56802	36931
303	57005	36753
304	57196	36568
305	57368	36371
306	57568	36191
307	57761	36007
308	57964	35829
309	58114	35618
310	58282	35419
311	58458	35225
312	58646	35037
313	58885	34881
314	59067	34690
315	59280	34517
316	59448	34318
317	59665	34148
318	59848	33957
319	60029	33766
320	60248	33596
321	60380	33377
322	60562	33187
323	60728	32988
324	60923	32804
325	61049	32584
326	61217	32387
327	61355	32174
328	61562	31997
329	61777	31824
330	61950	31630
331	62138	31443
332	62362	31274
333	62495	31060
334	62694	30879
335	62910	30706
336	63113	30526
337	63268	30324
338	63442	30130
339	63652	29954
340	63868	29780
341	64019	29576
342	64198	29385
343	64381	29196
344	64563	29006
345	64713	28802
346	64913	28621
347	65107	28437
348	65303	28254
349	65457	28053
350	65642	27865
351	65832	27679
352	66030	27497
353	66243	27320
354	66404	27122
355	66591	26935
356	66770	26745
357	66955	26557
358	67134	26367
359	67278	26163
360	67411	25956
361	67593	25767
362	67776	25579
363	67970	25395
364	68161	25210
365	68354	25026
366	68512	24828
367	68690	24638
368	68877	24452
369	69046	24259
370	69239	24075
371	69495	23912
372	69696	23730
373	70209	23653
374	70478	23492
375	70785	23344
376	71013	23168
377	71233	22990
378	71646	22873
379	71871	22696
380	72320	22588
381	72656	22443
382	72988	22296
383	73365	22162
384	73662	22002
385	73913	21829
386	74241	21677
387	74589	21531
388	74939	21383
